ID RMU,Nume,Cod Universitate,Judet,ID Judet,Localitate,ID Localitate,An,Adresa web
20,"Universitatea ""Babeş-Bolyai"" din Cluj-Napoca",U20,Cluj,20,CLUJ-NAPOCA,4413,2020,https://www.ubbcluj.ro/ro/
21,"Universitatea de Medicină şi Farmacie ""Iuliu Haţieganu"" din Cluj-Napoca",U21,Cluj,20,CLUJ-NAPOCA,4413,2020,http://www.umfcluj.ro/
22,"Academia de Muzică ""Gheorghe Dima"" din Cluj-Napoca",U22,Cluj,20,CLUJ-NAPOCA,4413,2020,http://anmgd.ro/
23,Universitatea de Artă şi Design din Cluj-Napoca,U23,Cluj,20,CLUJ-NAPOCA,4413,2020,http://www.uad.ro/
24,"Universitatea ""Ovidius"" din Constanţa",U24,Constanţa,23,CONSTANŢA,4847,2020,https://www.univ-ovidius.ro/
25,Universitatea Maritimă din Constanţa,U25,Constanţa,23,CONSTANŢA,4847,2020,https://cmu-edu.eu/
26,Universitatea din Craiova,U26,Dolj,26,CRAIOVA,5562,2020,https://www.ucv.ro/
27,Universitatea de Medicină şi Farmacie din Craiova,U27,Dolj,26,CRAIOVA,5562,2020,http://www.umfcv.ro/
28,"Universitatea ""Dunărea de Jos"" din Galaţi",U28,Galaţi,28,GALAŢI,5952,2020,https://www.ugal.ro/
29,"Universitatea Tehnică ""Gheorghe Asachi"" din Iaşi",U29,Iaşi,34,IAŞI,7630,2020,https://www.tuiasi.ro/
30,"Universitatea de Ştiinţe Agricole şi Medicină Veterinară ""Ion Ionescu de La Brad"" din Iaşi",U30,Iaşi,34,IAŞI,7630,2020,https://www.uaiasi.ro/
31,"Universitatea ""Alexandru Ioan Cuza"" din Iaşi",U31,Iaşi,34,IAŞI,7630,2020,https://www.uaic.ro/
34,Universitatea din Oradea,U34,Bihor,14,ORADEA,2094,2020,https://www.uoradea.ro/Universitatea+din+Oradea
35,Universitatea din Petroşani,U35,Hunedoara,30,PETROŞANI,7022,2020,https://www.upet.ro/
36,Universitatea din Piteşti,U36,Argeş,2,PITEŞTI,1000,2020,https://www.upit.ro/
37,Universitatea Petrol-Gaze din Ploieşti,U37,Prahova,40,PLOIEŞTI,10029,2020,https://www.upg-ploiesti.ro/
38,"Universitatea ""Eftimie Murgu"" din Reşiţa",U38,Caraş-Severin,22,REŞIŢA,3939,2020,https://uem.ro/
39,"Universitatea ""Lucian Blaga"" din Sibiu",U39,Sibiu,41,SIBIU,11010,2020,https://www.ulbsibiu.ro/ro/
40,"Universitatea ""Ştefan cel Mare"" din Suceava",U40,Suceava,44,SUCEAVA,11198,2020,https://usv.ro/
41,"Universitatea ""Valahia"" din Târgovişte",U41,Dâmboviţa,25,TÎRGOVIŞTE,5188,2020,https://www.valahia.ro/ro/
42,"Universitatea ""Constantin Brâncuşi"" din Târgu Jiu",U42,Gorj,27,TÎRGU JIU,6305,2020,https://www.utgjiu.ro/
43,"Universitatea ""Petru Maior"" din Târgu Mureş",U43,Mureş,37,TÎRGU MUREŞ,8767,2020,https://old.upm.ro/
45,Universitatea de Arte din Târgu Mureş,U45,Mureş,37,TÎRGU MUREŞ,8767,2020,https://www.uat.ro/acasa
46,Universitatea Politehnica Timişoara,U46,Timiş,46,TIMIŞOARA,11846,2020,https://www.upt.ro/
47,"Universitatea de Ştiinţe Agricole şi Medicină Veterinară a Banatului ""Regele Mihai I al României"" din Timişoara",U47,Timiş,46,TIMIŞOARA,11846,2020,https://www.usab-tm.ro/ro
48,Universitatea de Vest din Timişoara,U48,Timiş,46,TIMIŞOARA,11846,2020,https://www.uvt.ro/ro/
49,"Universitatea de Medicină şi Farmacie ""Victor Babeş"" din Timişoara",U49,Timiş,46,TIMIŞOARA,11846,2020,http://www.umft.ro/
51,"Universitatea Naţională de Apărare ""Carol I"" din Bucureşti",U51,Bucureşti,4,BUCUREŞTI,13755,2020,https://www.unap.ro/
