ID RMU,Universitate,ID Universitate,Facultate,ID Facultate,Tara,ID Tara,Localitate,ID Localitate,Domeniu studiu,ID Domeniu studiu,Specializare,ID Specializare,Tip acreditare,ID Tip acreditare,Forma invatamant,ID Forma invatamant,Ciclu de studiu,ID Ciclu de studiu,Limba predare,ID Limba predare,Durata studiu,Numar credite,An
15022,Şcoala Naţională de Studii Politice şi Administrative din Bucureşti,12,Facultatea de Comunicare şi Relaţii Publice,82,România,160,BUCUREŞTI,13755,Ştiinţe ale comunicării,21,Leadership şi comunicare politică,4195,A,3,Învăţământ cu frecvenţă (IF),1,Master,2,Română,8,2,120,2020
15019,"Universitatea ""Hyperion"" din Bucureşti",61,Facultatea de Ştiinţe Economice,420,România,160,BUCUREŞTI,13755,Economie şi afaceri internaţionale,29,Leadership şi consultanţă în afacerile comerciale internaţionale,4192,A,3,Învăţământ cu frecvenţă (IF),1,Master,2,Română,8,2,120,2020
15016,"Universitatea ""Alexandru Ioan Cuza"" din Iaşi",31,Facultatea de Litere,246,România,160,IAŞI,7630,Filologie,99,Lingvistică aplicată - Limba engleză ca limbă străină,4189,A,3,Învăţământ cu frecvenţă (IF),1,Master,2,Engleză,2,2,120,2020
15013,"Universitatea ""Alexandru Ioan Cuza"" din Iaşi",31,Facultatea de Litere,246,România,160,IAŞI,7630,Filologie,99,Lingvistică franceză aplicată,4186,A,3,Învăţământ cu frecvenţă (IF),1,Master,2,Franceză,3,2,120,2020
15010,"Universitatea de Medicină şi Farmacie ""Victor Babeş"" din Timişoara",49,Facultatea de Farmacie,369,România,160,TIMIŞOARA,11846,Medicină,89,Management educaţional sanitar,4183,A,3,Învăţământ cu frecvenţă (IF),1,Master,2,Română,8,2,120,2020
15007,Universitatea de Ştiinţe Agricole şi Medicină Veterinară din Cluj-Napoca,19,Facultatea de Horticultură,135,România,160,CLUJ-NAPOCA,4413,Inginerie şi management în agricultură şi dezvoltare rurală,83,Management în dezvoltare rurală şi agroturism,4180,A,3,Învăţământ cu frecvenţă (IF),1,Master,2,Română,8,2,120,2020
15004,Universitatea din Craiova,26,Facultatea de Litere,190,România,160,CRAIOVA,5562,Teatru şi artele spectacolului,32,Management şi antreprenoriat cultural,4177,A,3,Învăţământ cu frecvenţă (IF),1,Master,2,Română,8,2,120,2020
15001,"Universitatea ""Transilvania"" din Braşov",17,Facultatea de Medicină,121,România,160,BRAŞOV,3143,Medicină,89,Medicină tradiţională chineză,4174,A,3,Învăţământ cu frecvenţă (IF),1,Master,2,Engleză,2,2,120,2020
14998,"Universitatea ""Babeş-Bolyai"" din Cluj-Napoca",20,Facultatea de Matematică şi Informatică,138,România,160,CLUJ-NAPOCA,4413,Informatică,4,Metode moderne în predarea informaticii,4171,A,3,Învăţământ cu frecvenţă (IF),1,Master,2,Maghiară,7,2,120,2020
14995,"Universitatea ""Babeş-Bolyai"" din Cluj-Napoca",20,Facultatea de Matematică şi Informatică,138,România,160,CLUJ-NAPOCA,4413,Informatică,4,Metode moderne în predarea informaticii,4171,A,3,Învăţământ cu frecvenţă (IF),1,Master,2,Română,8,2,120,2020
14992,"Universitatea ""Babeş-Bolyai"" din Cluj-Napoca",20,Facultatea de Matematică şi Informatică,138,România,160,CLUJ-NAPOCA,4413,Matematică,1,Metode moderne în predarea matematicii,4168,A,3,Învăţământ cu frecvenţă (IF),1,Master,2,Maghiară,7,2,120,2020
14989,"Universitatea ""Babeş-Bolyai"" din Cluj-Napoca",20,Facultatea de Matematică şi Informatică,138,România,160,CLUJ-NAPOCA,4413,Matematică,1,Metode moderne în predarea matematicii,4168,A,3,Învăţământ cu frecvenţă (IF),1,Master,2,Română,8,2,120,2020
