ID RMU,Nume,Domeniu studiu,ID Domeniu studiu,Ramura stiinta,Domeniu fundamental,Ciclu de studii,ID Ciclu de studii,An
1549,Consiliere şi asistenţă în serviciile sociale,Asistenţă socială,17,Sociologie,Ştiinţe sociale,Master,2,2020
1548,Asistenţa socială şi economie socială,Asistenţă socială,17,Sociologie,Ştiinţe sociale,Master,2,2020
1547,Asistenţa socială pentru sănătate mentală,Asistenţă socială,17,Sociologie,Ştiinţe sociale,Master,2,2020
1546,Asistenţa socială în spaţiul justiţiei. Probaţiune şi mediere,Asistenţă socială,17,Sociologie,Ştiinţe sociale,Master,2,2020
1545,Asistenţă socială bazată pe dovezi,Asistenţă socială,17,Sociologie,Ştiinţe sociale,Master,2,2020
1384,Asistenţă şi incluziune socială a vârstnicilor şi persoanelor cu dizabilităţi,Asistenţă socială,17,Sociologie,Ştiinţe sociale,Master,2,2020
1302,Asistență și dezvoltare comunitară,Asistenţă socială,17,Sociologie,Ştiinţe sociale,Master,2,2020
921,Consiliere în asistenţa socială,Asistenţă socială,17,Sociologie,Ştiinţe sociale,Master,2,2020
912,Probaţiune,Asistenţă socială,17,Sociologie,Ştiinţe sociale,Master,2,2020
911,Prevenirea şi combaterea consumului ilicit de droguri,Asistenţă socială,17,Sociologie,Ştiinţe sociale,Master,2,2020
910,Managementul serviciilor sociale şi de sănătate,Asistenţă socială,17,Sociologie,Ştiinţe sociale,Master,2,2020
909,Grupuri de risc şi servicii sociale de suport,Asistenţă socială,17,Sociologie,Ştiinţe sociale,Master,2,2020
676,Inginerie economică și managementul afacerilor,Inginerie şi management,66,"Inginerie mecanică, mecatronică, inginerie industrială şi management",Ştiinţe inginereşti,Master,2,2020
63,Asistenţă managerială şi administrativă,Ştiinţe administrative,20,Ştiinţe administrative,Ştiinţe sociale,Licență,1,2020
3040,Programe și proiecte comunitare în asistență socială,Asistenţă socială,17,Sociologie,Ştiinţe sociale,Master,2,2020
3411,Proiectarea și managementul serviciilor sociale și de sănătate,Asistenţă socială,17,Sociologie,Ştiinţe sociale,Master,2,2020
3895,Program pregătitor de limba română pentru cetățenii străini,n/a,n/a,n/a,n/a,An pregătitor,5,2020
3899,Informatică aplicată în ingineria mediului,Ingineria mediului,62,"Inginerie mecanică, mecatronică, inginerie industrială şi management",Ştiinţe inginereşti,Licență,1,2020
3902,Fotografie,Cinematografie şi media,33,Arte,Ştiinţe umaniste şi arte,Licență,1,2020
3905,Mecatronica sistemelor biotehnice,Mecatronică şi robotică,68,"Inginerie mecanică, mecatronică, inginerie industrială şi management",Ştiinţe inginereşti,Licență,1,2020
3908,Sisteme de transport operațional,Inginerie mecanică,61,"Inginerie mecanică, mecatronică, inginerie industrială şi management",Ştiinţe inginereşti,Licență,1,2020
3911,Energetică și tehnologii informatice,Inginerie energetică,54,"Inginerie electrică, electronică şi telecomunicaţii",Ştiinţe inginereşti,Licență,1,2020
3914,Management și audit de mediu,Ştiinţa mediului,8,Ştiinţele pământului şi atmosferei,Matematică şi ştiinţe ale naturii,Licență,1,2020
3917,Asistență socială - Politici sociale europene,Asistenţă socială,17,Sociologie,Ştiinţe sociale,Master,2,2020
3923,Arhivistică,Istorie,12,Istorie,Ştiinţe umaniste şi arte,Master,2,2020
3926,Ingineria şi managementul proiectelor de construcții,Inginerie civilă și instalații,85,Inginerie civilă,Ştiinţe inginereşti,Master,2,2020
3929,Muzică bisericească ecumenică,Muzică,34,Arte,Ştiinţe umaniste şi arte,Master,2,2020
3932,Managementul securității în relații internaționale,Relaţii internaţionale şi studii europene,19,Ştiinţe politice,Ştiinţe sociale,Master,2,2020
3935,Conducere - Informații pentru apărare,Informații și securitate națională,94,"Ştiinţe militare, informaţii şi ordine publică",Ştiinţe sociale,Master,2,2020
3938,Securitatea la încărcări extreme a structurilor,"Inginerie genistică, Inginerie de armament, rachete și muniții",87,"Inginerie mecanică, mecatronică, inginerie industrială şi management",Ştiinţe inginereşti,Master,2,2020
3947,"Condiționarea, păstrarea și degustarea vinurilor/Conditionnement, stockage et degustation du vin",Horticultură,40,Ingineria resurselor vegetale şi animale,Ştiinţe inginereşti,Master,2,2020
3950,Artele și noile media,Cinematografie şi media,33,Arte,Ştiinţe umaniste şi arte,Master,2,2020
3953,Reabilitare orală estetică,Medicină dentară,90,Medicină dentară,Ştiinţe biologice şi biomedicale,Master,2,2020
3956,Securitate și relații internaționale,Relaţii internaţionale şi studii europene,19,Ştiinţe politice,Ştiinţe sociale,Master,2,2020
3959,Intervenții educaționale în școala incluzivă,Ştiinţe ale educaţiei,22,Psihologie şi ştiinţe comportamentale,Ştiinţe sociale,Master,2,2020
3962,Gestionarea și protecția mediului,Ingineria mediului,62,"Inginerie mecanică, mecatronică, inginerie industrială şi management",Ştiinţe inginereşti,Master,2,2020
3965,Ingineria proiectării construcţiilor miniere,"Mine, petrol şi gaze",69,"Inginerie geologică, mine, petrol şi gaze",Ştiinţe inginereşti,Master,2,2020
3968,Metode noninvazive de diagnostic și tratament în medicina dentară (Terapii laser),Medicină dentară,90,Medicină dentară,Ştiinţe biologice şi biomedicale,Master,2,2020
3971,Optică și optometrie,Fizică,2,Fizică,Matematică şi ştiinţe ale naturii,Master,2,2020
3974,Sisteme de control în automobile/ Automotive electronic control system,"Inginerie electronică, telecomunicaţii şi tehnologii informaţionale",53,"Inginerie electrică, electronică şi telecomunicaţii",Ştiinţe inginereşti,Master,2,2020
3977,Administrație publică/ Public administration,Ştiinţe administrative,20,Ştiinţe administrative,Ştiinţe sociale,Master,2,2020
3980,Evoluţia ecosistemelor naturale şi conservarea biodiversităţii,Biologie,5,Biologie,Ştiinţe biologice şi biomedicale,Master,2,2020
3986,Managementul organizațiilor publice și private,Management,30,Ştiinţe economice,Ştiinţe sociale,Master,2,2020
3992,Bune practici în oncologie medicală,Medicină,89,Medicină,Ştiinţe biologice şi biomedicale,Master,2,2020
3998,"Sisteme informatice avansate: modelare, proiectare, dezvoltare",Informatică,4,Informatică,Matematică şi ştiinţe ale naturii,Master,2,2020
4001,Sisteme de management și control ale autovehiculelor,Ingineria autovehiculelor,59,Ingineria transporturilor,Ştiinţe inginereşti,Master,2,2020
4007,Inginerie şi management în agribusiness,Inginerie şi management în agricultură şi dezvoltare rurală,83,Ingineria resurselor vegetale şi animale,Ştiinţe inginereşti,Master,2,2020
4013,Drept antreprenorial,Drept,15,Ştiinţe juridice,Ştiinţe sociale,Master,2,2020
4016,Comerț exterior,Economie şi afaceri internaţionale,29,Ştiinţe economice,Ştiinţe sociale,Master,2,2020
4025,Ingineria sistemelor de securitate la incendiu și de securitate fizică în clădiri,Inginerie civilă și instalații,85,Inginerie civilă,Ştiinţe inginereşti,Master,2,2020
4028,Design de produs și inginerie inovativă,Inginerie industrială,56,"Inginerie mecanică, mecatronică, inginerie industrială şi management",Ştiinţe inginereşti,Master,2,2020
4043,Nano-bio-inginerie și managementul mediului,"Inginerie electronică, telecomunicaţii şi tehnologii informaţionale",53,"Inginerie electrică, electronică şi telecomunicaţii",Ştiinţe inginereşti,Master,2,2020
4046,Hidro-informatică și ingineria apei,Inginerie energetică,54,"Inginerie electrică, electronică şi telecomunicaţii",Ştiinţe inginereşti,Master,2,2020
4049,Energetica orașelor inteligente,Inginerie energetică,54,"Inginerie electrică, electronică şi telecomunicaţii",Ştiinţe inginereşti,Master,2,2020
4055,Servicii de asistenţă socială,Asistenţă socială,17,Sociologie,Ştiinţe sociale,Master,2,2020
4058,Practici curatoriale contemporane,Istoria și teoria artei,100,Arte,Ştiinţe umaniste şi arte,Master,2,2020
658,Mecanică de precizie pentru sisteme mecatronice,Inginerie mecanică,61,"Inginerie mecanică, mecatronică, inginerie industrială şi management",Ştiinţe inginereşti,Master,2,2020
222,Sisteme de producție digitale,Inginerie industrială,56,"Inginerie mecanică, mecatronică, inginerie industrială şi management",Ştiinţe inginereşti,Licență,1,2020
2625,"Comunicare, relaţii publice şi media digitală (interdisciplinar cu Inginerie electronică, telecomunicaţii şi tehnologii informaţionale)",Ştiinţe ale comunicării,21,Ştiinţe ale comunicării,Ştiinţe sociale,Master,2,2020
4069,Securitate cibernetică,Informatică,4,Informatică,Matematică şi ştiinţe ale naturii,Master,2,2020
4078,Gestiunea și auditul afacerilor,Contabilitate,27,Ştiinţe economice,Ştiinţe sociale,Master,2,2020
4081,Limba rusă aplicată. Tehnici de traducere,Filologie,99,Filologie,Ştiinţe umaniste şi arte,Master,2,2020
4084,Biorafinării şi bioproduse,Inginerie chimică,48,Chimie şi inginerie chimică,Matematică şi ştiinţe ale naturii,Master,2,2020
4087,Comunicare instituţională,Ştiinţe ale comunicării,21,Ştiinţe ale comunicării,Ştiinţe sociale,Master,2,2020
4090,"Contabilitate, fiscalitate şi audit",Contabilitate,27,Ştiinţe economice,Ştiinţe sociale,Master,2,2020
4093,Credinţă şi viaţă. Studii de teologie publică./ Faith and Life. Studies in Public Theology,Teologie,14,Teologie,Ştiinţe umaniste şi arte,Master,2,2020
4096,Digitalizarea în ştiinţe umaniste/ Digital Humanities,Filologie,99,Filologie,Ştiinţe umaniste şi arte,Master,2,2020
4099,Ingineria şi managementul calităţii şi competitivităţii/ Quality and Competitiveness Engineering and Management,Inginerie şi management,66,"Inginerie mecanică, mecatronică, inginerie industrială şi management",Ştiinţe inginereşti,Master,2,2020
4102,Logistica şi siguranţa în transporturi,Ingineria transporturilor,67,Ingineria transporturilor,Ştiinţe inginereşti,Master,2,2020
4105,Managementul achiziţiilor publice,Ştiinţe administrative,20,Ştiinţe administrative,Ştiinţe sociale,Master,2,2020
4108,Managementul integrat al afacerilor,Management,30,Ştiinţe economice,Ştiinţe sociale,Master,2,2020
4111,Monitorizarea şi controlul sistemelor eletroenergetice,Inginerie energetică,54,"Inginerie electrică, electronică şi telecomunicaţii",Ştiinţe inginereşti,Master,2,2020
4114,Operarea şi conducerea sistemelor electroenergetice navale,Inginerie electrică,52,"Inginerie electrică, electronică şi telecomunicaţii",Ştiinţe inginereşti,Master,2,2020
4117,Relaţii publice şi dezvoltare interculturală,Ştiinţe ale comunicării,21,Ştiinţe ale comunicării,Ştiinţe sociale,Master,2,2020
4120,Securitate şi tehnologie/ Security and Technology,Ştiinţe politice,18,Ştiinţe politice,Ştiinţe sociale,Master,2,2020
4123,Ştiinţa şi siguranţa alimentului,Ingineria produselor alimentare,58,Ingineria resurselor vegetale şi animale,Ştiinţe inginereşti,Master,2,2020
4126,Tehnologia informaţiei aplicată în aviaţie/ Information Technologies Applied in Aviation,Calculatoare şi tehnologia informaţiei,44,"Ingineria sistemelor, calculatoare şi tehnologia informaţiei",Ştiinţe inginereşti,Master,2,2020
4129,Tehnologii moderne pentru ingineria medicală,Ştiinţe inginereşti aplicate,70,"Inginerie mecanică, mecatronică, inginerie industrială şi management",Ştiinţe inginereşti,Master,2,2020
4135,Tehnologii informatice pentru telecomunicaţii/ Information Technologies for Telecomunications,"Inginerie electronică, telecomunicaţii şi tehnologii informaţionale",53,"Inginerie electrică, electronică şi telecomunicaţii",Ştiinţe inginereşti,Master,2,2020
4138,"Sustenabilitate în agricultură, producţia alimentară şi Tehnologia alimentară în regiunea Dunării/ Sustainability in Agriculture, Food Production and Food Technology in the Danube Region",Ingineria produselor alimentare,58,Ingineria resurselor vegetale şi animale,Ştiinţe inginereşti,Master,2,2020
