ID RMU,Nume,Domeniu fundamental,ID Domeniu fundamental,Ramura stiinta,ID Ramura stiinta,isLicenta,isMaster,isDoctorat,An
85,Inginerie civilă și instalații,Ştiinţe inginereşti,12,Inginerie civilă,5,0,1,1,2020
86,Inginerie navală și navigație,Ştiinţe inginereşti,12,"Inginerie mecanică, mecatronică, inginerie industrială şi management",11,0,1,1,2020
87,"Inginerie genistică, Inginerie de armament, rachete și muniții",Ştiinţe inginereşti,12,"Inginerie mecanică, mecatronică, inginerie industrială şi management",11,0,1,1,2020
88,Biochimie,Ştiinţe biologice şi biomedicale,17,Biochimie,13,0,1,1,2020
89,Medicină,Ştiinţe biologice şi biomedicale,17,Medicină,14,0,1,1,2020
90,Medicină dentară,Ştiinţe biologice şi biomedicale,17,Medicină dentară,16,0,1,1,2020
91,Farmacie,Ştiinţe biologice şi biomedicale,17,Farmacie,17,0,1,1,2020
93,Științe militare,Ştiinţe sociale,18,"Ştiinţe militare, informaţii şi ordine publică",23,0,1,1,2020
94,Informații și securitate națională,Ştiinţe sociale,18,"Ştiinţe militare, informaţii şi ordine publică",23,0,1,1,2020
95,Ordine publică și siguranță națională,Ştiinţe sociale,18,"Ştiinţe militare, informaţii şi ordine publică",23,0,1,1,2020
96,Cibernetică și statistică,Ştiinţe sociale,18,Ştiinţe economice,24,0,1,1,2020
97,Informatică economică,Ştiinţe sociale,18,Ştiinţe economice,24,0,1,1,2020
99,Filologie,Ştiinţe umaniste şi arte,19,Filologie,26,0,1,1,2020
100,Istoria și teoria artei,Ştiinţe umaniste şi arte,19,Arte,32,0,1,1,2020
101,Știința sportului și educației fizice,Ştiinţa Sportului şi Educaţiei Fizice,20,Ştiinţa Sportului şi Educaţiei Fizice,33,0,1,1,2020
4,Informatică,Matematică şi ştiinţe ale naturii,16,Informatică,36,1,1,1,2020
115,Management în sport,Ştiinţa Sportului şi Educaţiei Fizice,20,Ştiinţa Sportului şi Educaţiei Fizice,33,1,0,0,2020
118,Studii de securitate,Ştiinţe sociale,18,Ştiinţe politice,22,1,1,1,2020
